Concept,Keep Concept?,CodeMeta Field,Schema.org,DataCite,OntoSoft,Zenodo,GitHub,Figshare,Software Ontology,code.jsonld,Software Discovery Index,Dublin Core,R Package Description,Debian Package Metadata,Python Distutils (PyPI),Trove Software Map,Perl Module Description (CPAN::Meta),JavaScript package descption (npm),Java (Maven),Octave,Ruby Gem,ASCL,Use Cases
Agent,y,agents,agent,Creator,hasCreator,creators,owner,,,author,,creator,Authors@R,,,,,,,,,,
AuthorAffiliation,y,affiliation,affiliation,affilliation,hasCreator,creators.affiliation,-,-,-,affiliation,-,-,-,-,-,-,-,-,-,-,-,,"3, 4, 5"
AuthorEmail,y,email,email,-,hasCreator,-,-,-,-,email,-,-,Authors@R person(email),-,author_email,-,author:email-address,author.email,-,"DESCRIPTION/Author, DESCRIPTION/Maintainer",email,email,"3, 4, 5"
AuthorId,y,@id,"identifier, @id",nameIdentifier,hasCreator,creators.orcid,-,id(internal id/ORCID),-,id(ORCID),-,-,-,-,-,-,-,-,-,-,-,,"3, 4, 5"
AuthorName,y,name,"name, givenName, FamilyName",-,hasCreator,-,-,Name,-,name,-,-,"Authors@R person(given, family)",-,-,-,author:contact-name,author.name,-,-,-,,"3,4,5"
BuildLink,y,buildInstructions,-,-,-,r_i.relation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"2,3,4"
CILink,y,contIntegration,-,-,-,r_i.relation,-,-,-,-,-,-,-,-,-,-,-,-,ciManagement,-,-,,"2, 3, 9"
CodeRepositoryLink,y,codeRepository,codeRepository,-,os:hasCodeLocation os:hasExecutableLocation,r_i.relation,git_url,-,-,codeRepository,Links to code repository,-,URL,HomePage,url,-,resources.repository,repository,repositories,-,homepage,site_list,"1, 2, 3, 7, 9, (11), (12)"
ControlledTerms,y,controlledTerms,keywords,-,hasSoftwareCategory hasDomainKeywords,communities,-,category,-,-,-,-,-,-,classifiers['Topic'],Topic,CATEGORIES,-,-,DESCRIPTION/Categories,-,,"1,3"
DateCreated,y,dateCreated,dateCreated,Date (dateType = Created),-,-,created_at,-,-,dateCreated,-,created,-,Date,-,-,-,-,-,-,-,,3
DateModified,y,dateModified,dateModified,Date (dateType = Issued),-,-,updated_at,-,-,dateModified,-,modified,-,-,-,last-updated,-,-,-,-,-,,3
