Parent Type,Property,Type,Description,ASCL,BibTeX (@softwareversion),Cabal (Haskell),Rust Package Manager,Citation File Format (1.2.0),DCAT-3,DCAT-2,DOAP,DataCite,Debian Package,Dublin Core,Figshare,GitHub,ISO 19115-1:2014 Geographic information - Metadata,Java (Maven), Julia Project.toml,Leiningen (Clojure),MODS,NodeJS,NuGet,Octave,OntoSoft,Perl Module Description (CPAN::Meta),Pubspec,Python Distutils (PyPI),Python PKG-INFO,R Package Description,Ruby Gem,SPDX 2.3,SciCrunchRegistry,Software Discovery Index,Software Ontology,Trove Software Map,VIVO,Wikidata,Zenodo,bio.tools,codemeta-V1,codemeta-V2,csdms,publiccode,SPASE,swMATH,usgs-modelcatalog
schema:SoftwareSourceCode,codeRepository,URL,"A link to the repository where the un-compiled, human readable code and related code is located (SVN, GitHub, CodePlex, institutional GitLab instance, etc.).",site_list,repository,,package.repository,repository-code,dcat:accessURL,,repository/location,,HomePage,,relatedLink,html_url,,scm / url,,scm.name / scm.url,location/url[@access='object in context'],repository,repository.url,,,resources.repository,repository,,,URL,homepage,PackageSourceInfo,,,,,,P1324,related_identifiers.isSupplementTo,,codeRepository,codeRepository,Source web address,url,AccessInformation/RepositoryID,source_code,software.usgs_software_gitlab_release_urls / software.external_software_repository_urls
schema:SoftwareSourceCode,programmingLanguage,ComputerLanguage or Text,The computer programming language.,,,,,,,dcterms:conformsTo,programming-language,Format,,,,languages_url,,,,,,,,,hasProgrammingLanguage,,,classifiers['Programming Language'],,,,,,,programming language,Programming Language,,P277,,labels.language,programmingLanguage,programmingLanguage,Programming language / Program language other,,codeLanguage,programming_languages,programming_language
schema:SoftwareSourceCode,review,Review,A review of the source code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annotation,,,,,,,,,,,,,,,
schema:SoftwareSourceCode,runtimePlatform,Text,"Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0). Supersedes runtime.",,,,,,,,platform,,,,,,,, compat.julia,,,engines,,,,,platforms,,,,platform,,,,,,,P400,,,,runtimePlatform,,,,,
schema:SoftwareSourceCode,targetProduct,SoftwareApplication,"Target Operating System / Product to which the code applies. If applies to several versions, just the product name can be used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,targetProduct,,platforms,,,
schema:SoftwareApplication,applicationCategory,Text or URL,"Type of software application, e.g. 'Game, Multimedia'.",,,,,,,dcat:theme,category,,,,categories,,identificationInfo.descriptiveKeywords[type='theme'].keyword*,,,,,,,Categories,hasSoftwareCategory,Categories,,classifiers['Topic'],,,,PrimaryPackagePurpose,,,,Topic,,,communities,,,applicationCategory,,categories / description.[lang].genericName,,,item_type
schema:SoftwareApplication,applicationSubCategory,Text or URL,"Subcategory of the application, e.g. 'Arcade Game'.",,,,,,,,category,,,,,,identificationInfo.descriptiveKeywords[type='theme'].keyword*,,,,,,,,,,,,,,,,,,,,,,,,,applicationSubCategory,,categories,,,type_keywords
schema:SoftwareApplication,downloadUrl,URL,"If the file can be downloaded, URL to download the binary.",,file,package-url,,(repository-artifact) / (url) / (repository) / (identifiers[i].type==url),dcat:downloadURL,dcat:downloadURL,download-page,,,,,archive_url,distributionInfo.distributor.distributorTransferOptions.onLine[function='download'].linkage or distributionInfo.transferOptions.onLine[function='download'].linkage or identificationInfo.citation.onlineResource[function='download'].linkage,distributionManagement / downloadUrl,,,location/url[@displayName='Download URL'],,,,,,,download_url,Download-URL,,,PackageDownloadLocation,,,,,,P4945,related_identifiers.isIdenticalTo,,downloadLink,downloadUrl,,,AccessURL/URL,,software.download_url
schema:SoftwareApplication,fileSize,Text,"Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.",,,,,,dcat:byteSize,dcat:byteSize,,size,,,,,distributionInfo.transferOptions.transferSize or distributionInfo.distributionFormat.formatDistributor.distributorTransferOptions.transferSize or  distributionInfo.distributor.distributorTransferOptions.transferSize,,,,physicalDescription/extent,,,,,,,,,,,,,,,,,P3575,,,,fileSize,,,,,
schema:SoftwareApplication,installUrl,URL,"URL at which the app may be installed, if different from the URL of the item.",,,,,,,,download-mirror,,,,,,distributionInfo.distributor.distributorTransferOptions.onLine[function='download'].linkage or distributionInfo.transferOptions.onLine[function='download'].linkage or identificationInfo.citation.onlineResource[function='download'].linkage,,,,location/url[@displayName='Install URL'],,,,,,,,,,,,,,,,,,,,,installUrl,,,ExecutionEnvironment/Installer/URL,,
schema:SoftwareApplication,memoryRequirements,Text or URL,Minimum memory requirements.,,,,,,,,,,,,,,identificationInfo.environmentDescription*,,,,,,,,,,,,,,,,,,,,,,,,,memoryRequirements,Memory requirements,,ExecutionEnvironment/Memory,,
schema:SoftwareApplication,operatingSystem,Text,"Operating systems supported (Windows 7, OSX 10.6, Android 1.6).",,,,,,,,os,,,,,,identificationInfo.environmentDescription*,,,,,os,,,SupportsOperatingSystem,OSNAMES,,classifiers['Operating System'],,,,,,,,Operating System,,P306,,operatingSystem,operatingSystems,operatingSystem,Supported platforms / Supported platforms other,platforms,ExecutionEnvironment/OperatingSystems,,
schema:SoftwareApplication,permissions,Text,"Permission(s) required to run the app (for example, a mobile app may require full internet access or may run only on wifi).",,,,,,,,,,,,,,identificationInfo.resourceConstraints or identificationInfo.resourceConstraints.reference.onlineResource.linkage,,,,,,,,,,,,,,,,,,,,,,,,,permissions,,,,,
schema:SoftwareApplication,processorRequirements,Text,Processor architecture required to run the application (e.g. IA64).,,,,,,,,,,,,,,identificationInfo.environmentDescription*,,,,,cpu,,,,,,,,,,,,,,,,,,,,processorRequirements,,,,,
schema:SoftwareApplication,releaseNotes,Text or URL,Description of what changed in this version.,,note,,,,adms:versionNotes,,,,,,,,identificationInfo.additionalDocumentation*,,,,,,releaseNotes,,,,,,,,,,,,,,,,,,,releaseNotes,,,,,
schema:SoftwareApplication,softwareHelp,CreativeWork,Software application help.,,,,,,,,support-forum,,,,,,identificationInfo.additionalDocumentation*,,,,,,,,,,,,,,,,,,,,,,,,,softwareHelp,,,,,
schema:SoftwareApplication,softwareRequirements,SoftwareSourceCode,Required software dependencies,,,,"dependencies, dev-dependencies, build-dependencies",references,,,,,,,,,identificationInfo.additionalDocumentation*,dependencies,,,,dependencies / bundledDependencies / bundleDependencies / peerDependencies,,"Depends, SystemRequirements",hasDependency->Software,prereqs,,install_requires,Requires,"Depends, SystemRequirements","requirements, add_runtime_dependency",,,"""Platform, environment, and dependencies""",,Database Environment,,P1547,,,depends,softwareRequirements,,dependsOn.open / dependsOn.proprietary / dependsOn.hardware,Prerequisites,dependencies,
schema:SoftwareApplication,softwareVersion,Text,Version of the software instance.,,version,,,version,dcat:version,,release,,,,,,identificationInfo.citation.edition,version,version,,originInfo/edition,,,,,,version,,,Version,,PackageVersion,,,,,version,P348,,version,,softwareVersion,,softwareVersion,SoftwareVersion,,version
schema:SoftwareApplication,storageRequirements,Text or URL,Storage requirements (free space required).,,,,,,,,,,,,,,identificationInfo.environmentDescription*,,,,,,,,,,,,,,,,,,,,,,,,,storageRequirements,,,ExecutionEnvironment/Storage,,
schema:SoftwareApplication,supportingData,DataFeed,Supporting data for a SoftwareApplication.,,,,,,dcat:qualifiedRelation,,,,,,,,identificationInfo.associatedResource.name*,,,,relatedItem[@type='references'],,,,,,,,,,,,,,,,,,,,,supportingData,,,,,
schema:CreativeWork,author,Organization or Person,The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.,credit,author,author,package.authors,authors,dcterms:creator,dcterms:creator,developer,creators,,creator,,login,identificationInfo.citation.citedResponsibleParty[role='author'].party.name or identificationInfo.citation.citedResponsibleParty[role='originator'].party.name,developers,,,name/role/roleTerm[@type='code']/[.='aut'],author,authors,,,,author/authors,author,Author,[aut] in Author,author/authors,PackageOriginator,,,,,relatedBy.relates,P50,creators,,agents,author,,,,authors,person when person_type=Author
schema:CreativeWork,citation,CreativeWork or URL,"A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.",bibcode,,,,preferred-citation / references,dcterms:references,,,,,,,,identificationInfo.associatedResource.name*,,,,relatedItem[@otherType='references'],,,,,,,,,,,,Proper Citation,,,,,P2860,,publication,relatedLink,citation,,,,references,publications.model_citations
schema:CreativeWork,contributor,Organization or Person,A secondary contributor to the CreativeWork or Event.,,,,package.authors,,dcterms:contributor,dcterms:contributor,developer,contributor,,,,,identificationInfo.citation.citedResponsibleParty[not(role='author' or role='principalInvestigator' or role='originator')].party.name*,contributors,,,name/role/roleTerm[@type='code']/[.='ctb'],contributors,,,,,,,,[ctb] in Author,,,,,,,,P767,,,,contributor,,,,,
schema:CreativeWork,copyrightHolder,Organization or Person,The party holding the legal copyright to the CreativeWork.,,,copyright,,,dcterms:rights,,,,,,,,identificationInfo.resourceConstraints.reference.citedResponsibleParty,,,,accessCondition/rights.holder/name,,,,,,,,,,,,,,,,,,,,agents [role=copyrightHolder],copyrightHolder,,legal.mainCopyrightOwner,,,
schema:CreativeWork,copyrightYear,Number,The year during which the claimed copyright for the CreativeWork was first asserted.,,,copyright,,,dcterms:rights,,,,,,,,identificationInfo.resourceConstraints.reference.date[dateType='publication'].date,,,,accessCondition/creation/year.creation,,,,,,,,,,,,,,,,,,,,,copyrightYear,,,,,
schema:CreativeWork,dateCreated,Date,The date on which the CreativeWork was created or the item was added to a DataFeed.,,,,,,dcterms:created,,,date,Date,created,,created_at,identificationInfo.citation.date[dateType='creation'].date*,inceptionYear,,,originInfo/dateCreated,,,,,,,,,,,BuiltDate,,,,,,P571,,,dateCreated,dateCreated,Start year development,,,,
schema:CreativeWork,dateModified,Date,The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.,,,,,,dcterms:modified,dcterms:modified,,date,,,,updated_at,identificationInfo.citation.date[dateType='revision'].date*,,,,originInfo/dateModified,,,,,,,,,,,,,,,last-updated,,P5017,,,dateModified,dateModified,,releaseDate,,,last_update
schema:CreativeWork,datePublished,Date,Date of first broadcast/publication.,,date / (year) / (month),,,date-released,dcterms:issued,dcterms:issued,,publicationYear,,date,date_retrieved,,identificationInfo.citation.date[dateType='publication'].date*,,,,originInfo/dateIssued,,,Date,,,,,,Date,,ReleaseDate,,,,,date/time value,P577,publication_date,,datePublished,datePublished,,releaseDate,ResourceHeader/ReleaseDate,,release_date
schema:CreativeWork,editor,Person,Specifies the Person who edited the CreativeWork.,,editor,,,,prov:qualifiedAttribution,prov:qualifiedAttribution,,,,,,,identificationInfo.citation.citedResponsibleParty[role='editor'].party.name*,,,,name/role/roleTerm[@type='code']/[.='edt'],,,,,,,,,,,,,,,,,P98,,,,editor,,,,,
schema:CreativeWork,encoding,MediaObject,A media object that encodes this CreativeWork. This property is a synonym for associatedMedia. Supersedes encodings.,,,,,,dcterms:conformsTo,dcat:mediaType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encoding,,,AccessInformation/Encoding,,
schema:CreativeWork,fileFormat,Text or URL,"Media type, typically MIME format (see IANA site) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.",,,,,,dcat:mediaType,dcat:mediaType,,Format,,,,,identificationInfo.resourceFormat.formatSpecificationCitation,,,,typeOfResource,,,,,,,,,,,FileType,,,,,,P2701,,,,fileFormat,,,AccessInformation/Format,,
schema:CreativeWork,funder,Organization or Person,A person or organization that supports (sponsors) something through some kind of financial contribution.,,,,,,prov:qualifiedAttribution,prov:qualifiedAttribution,,funderName,,,,,identificationInfo.citation.citedResponsibleParty[role='funder'].party.name*,,,,name/role/roleTerm[@type='code']/[.='fnd'],,,,,,,,,,,,Funding Agency,,,,informationResourceSupportedBy.assignedBy,P859,contributors.Funder,,fundingReference.funderName,funder,,,ResourceHeader/Funding/Agency,,
schema:CreativeWork,keywords,Text,Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.,,,category,package.keyword,keywords,dcat:keyword,dcat:keyword*,category,subject,,,tags,topics,identificationInfo.descriptiveKeywords[type='theme'].keyword*,,,,subject,keywords,tags,,hasDomainKeywords,keywords,keywords,keywords,Keywords,,,,Keywords/Related Condition,,,,freetextKeywords,P921,keywords,topic.term,controlledTerms,keywords,ModelDomain / Model keywords,description.[lang].features,,keywords,science_keywords / other_keywords
schema:CreativeWork,license,CreativeWork or URL,"A license document that applies to this content, typically indicated by URL.",,license,license / license-file / license-files,package.license,license / license-url,dcterms:license,dcterms:license,license,rights,,license,License,license,identificationInfo.resourceConstraints.reference,licenses / license / url,,license.url,accessCondition[@type='use and reproduction'],license,license/licenseUrl,License,License,license,license,license,License,License,license/licenses,PackageLicenseConcluded,Availability,Software license,software license,license,,P275,license,labels.license,licenseId,license,Program license type / Program license type other,legal.license,,,license
schema:CreativeWork,producer,Organization or Person,"The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.).",,,,,,prov:qualifiedAttribution,prov:qualifiedAttribution,,,,,,,identificationInfo.citation.citedResponsibleParty[role='creator'].party.name*,,,,name/role/roleTerm[@type='code']/[.='pro'],,,,,,,,,,,PackageOriginator,,,,,,P162,,,,producer,,,,,organization / external_organization_name
schema:CreativeWork,provider,Organization or Person,"The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller. Supersedes carrier.",,,,,,prov:qualifiedAttribution,prov:qualifiedAttribution,,,,,,,identificationInfo.pointOfContact[role='pointOfContact'].party.name*,,,,name/role/roleTerm[@type='code']/[.='prv'],,,,,,,,,,,PackageSupplier,,,,,,,,,,provider,,,,,
