source_term,target_term,type_relation,combined_mappings,comments
codeRepository,repository,exact_match,,
softwareVersion,version,exact_match,,
downloadUrl,file,exact_match,,
softwareVersion,version,exact_match,,
releaseNotes,note,exact_match,,
author,author,exact_match,,
datePublished,date,exact_match,,
datePublished,year,part_of,$(year)+$(month), 
datePublished,month,part_of,$(year)+$(month),
editor,editor,exact_match,,
license,license,exact_match,,
publisher,publisher,exact_match,,,
description,abstract,exact_match,,
identifier,doi,more_generic_than,,
identifier,hal_id,more_generic_than,,
url,url,exact_match,,
affiliation,organization,exact_match,,
