source_term,codemeta_term,type_relation,combined_mappings,comments
format,programmingLanguage,more_generic_than,,The format of both terms are different
size,fileSize,exact_match,,
creators/creatorName,author/name,exact_match,,
creators/givenName,author/givenName,exact_match,,
creators/familyName,author/familyName,exact_match,,
creators/nameIdentifier,author/identifier,exact_match,,
creators/affiliation,affiliation/legalName,exact_match,,
creators/affiliation/affiliationIdentifier,affiliation/legalName,exact_match,,
contributors/creatorName,author/name,exact_match,,
contributors/givenName,author/givenName,exact_match,,
contributors/familyName,author/familyName,exact_match,,
contributors/nameIdentifier,author/identifier,exact_match,,
contributors/affiliation,affiliation/legalName,exact_match,,
contributors/affiliationIdentifier,affiliation/identifier,exact_match,,
dates/date,dateCreated,more_generic_than,,When dateType is equal to Created
dates/date,dateModified,more_generic_than,,When dateType is equal to Updated
publicationYear,publicationYear,exact_math,,When dateType is equal to Available
formats,fileFormat,more_generic_than,, formats is a list of formats so the cardinality is different
fundingReferences/funderName,funder/name,exact_match,,
fundingReferences/funderIdentifier,funder/identifier,exact_match,,
fundingReferences/awardNumber,funding,exact_match,,
subject,keywords,exact_match,,
rightsList/rightsUri,license,exact_match,rights/,,
publisher/name,name,exact_match,,
publisher/publisherIdentifier,identifier,exact_match,,
version,version,exact_match,,
version,softwareVersion,more_generic_than,,
description,description,exact_match,,
identifier,identifier,close_match,,
title,name,exact_match,,
relatedIdentifier,relatedLink,exact_match,,,,When relatedIdentifierType is equal to URL
identifier,identifier,exact_match,,
