# curie_map: # This contains the URLs prefixes used in the mapping file
#   skos: http://www.w3.org/2004/02/skos/core# ### Always needed. Do not modify
#   sssom: https://w3id.org/sssom/             ### Always needed. Do not modify
#   subject: http://purl.org/spar/datacite/ ### Value of the schema
#   codemeta: "https://w3id.org/codemeta/3.0/" ### Always needed. Do not modify
#   schema: "http://schema.org/" ### Always needed. Do not modify
# license: https://creativecommons.org/publicdomain/zero/1.0/
# subject_documentation: https://doi.org/10.14454/mzv1-5b55
# mapping_date: '2025-04-01' ### Default value
# mapping_set_description: 'Mapping between codemeta and datacite following out methodology' ### Please	 add the description of your mapping
# mapping_provider: https://codemeta.github.io/ ### Please	 add a URI of the author of the mapping. Prioritize ORCIDs for persons and ROR ids for organizations
# mapping_set_id: https://w3id.org/codemeta/crosswalks/datacite ### Please	 add a URI of your crosswalk. You can use the w3id.org service to create it.
subject_id	subject_label	predicate_id	object_id	object_label	match_type	confidence
subject:Format	Format	skos:broader	schema:programmingLanguage	programmingLanguage	SSSOM:HumanCurated	1
subject:size	size	skos:exactMatch	schema:fileSize	fileSize	SSSOM:HumanCurated	1
subject:creator/creatorName	creatorName	skos:exactMatch	schema:author/name	name	SSSOM:HumanCurated	1
subject:creator/nameIdentifier	nameIdentifier	skos:exactMatch	schema:author/identifier	identifier	SSSOM:HumanCurated	1
subject:contributor/contributorName	contributorName	skos:exactMatch	schema:contributor/name	name	SSSOM:HumanCurated	1
subject:contributor/nameIdentifier	nameIdentifier	skos:exactMatch	schema:contributor/identifier	identifier	SSSOM:HumanCurated	1
subject:date/dateType	dateType	skos:broader	schema:dateCreated	dateCreated	SSSOM:HumanCurated	1
subject:date/dateType	dateType	skos:broader	schema:dateModified	dateModified	SSSOM:HumanCurated	1
subject:date/dateType	dateType	skos:broader	codemeta:publicationYear	publicationYear	SSSOM:HumanCurated	1
subject:date/dateType	dateType	skos:broader	codemeta:publicationYear	publicationYear	SSSOM:HumanCurated	1
subject:format	format	skos:exactMatch	schema:fileFormat	fileFormat	SSSOM:HumanCurated	1
subject:fundingReference/funderName	funderName	skos:exactMatch	schema:funder/name	name	SSSOM:HumanCurated	1
subject:fundingReference/funderIdentifier	funderIdentifier	skos:exactMatch	schema:funder/identifier	identifier	SSSOM:HumanCurated	1
subject:fundingReference/awardNumber	awardNumber	skos:exactMatch	codemeta:funding	funding	SSSOM:HumanCurated	1
subject:subject	subject	skos:exactMatch	schema:keywords	keywords	SSSOM:HumanCurated	1
subject:rights/rightsURI	rightsURI	skos:exactMatch	schema:license	license	SSSOM:HumanCurated	1
subject:publisher	publisher	skos:exactMatch	schema:publisher/name	name	SSSOM:HumanCurated	1
subject:publisher/publisher	publisher	skos:exactMatch	schema:publisher/identifier	identifier	SSSOM:HumanCurated	1
subject:version	version	skos:exactMatch	schema:version	version	SSSOM:HumanCurated	1
subject:version	version	skos:broader	schema:softwareVersion	softwareVersion	SSSOM:HumanCurated	1
subject:description	description	skos:exactMatch	schema:description	description	SSSOM:HumanCurated	1
subject:identifier	identifier	skos:closeMatch	schema:identifier	identifier	SSSOM:HumanCurated	1
subject:title	title	skos:exactMatch	schema:name	name	SSSOM:HumanCurated	1
subject:relatedIdentifier	relatedIdentifier	skos:exactMatch	schema:relatedLink	relatedLink	SSSOM:HumanCurated	1
subject:creator/affiliation	affiliation	skos:exactMatch	codemeta:affiliation/legalName	legalName	SSSOM:HumanCurated	1
subject:contributor/affiliation	affiliation	skos:exactMatch	codemeta:affiliation/legalName	legalName	SSSOM:HumanCurated	1
subject:creator/affiliation/affiliationIdentifier	affiliationIdentifier	skos:exactMatch	codemeta:affiliation/legalName	legalName	SSSOM:HumanCurated	1
subject:contributor/affiliation/affiliationIdentifier	affiliationIdentifier	skos:exactMatch	schema:affiliation/identifier	identifier	SSSOM:HumanCurated	1
subject:identifier	identifier	skos:exactMatch	schema:identifier	identifier	SSSOM:HumanCurated	1
