source_term,codemeta_term,type_relation,combined_mappings,comments
dcterms:subject,applicationCategory,exact_match,,
dcterms:subject,applicationSubCategory,exact_match,,
dcterms:creator/affiliation,author/affiliation/name,exact_match,,
,author/email,,,
,author/familyName,,,
,author/givenName,,,
dcterms:creator/identifier,author/identifier,more_specific_than,,
dcterms:creator/name,author/name,exact_match,,
,author/roleName,,,
,buildInstructions,,,
dcterms:bibliographicCitation,citation,exact_match,,
dcterms:source,codeRepository,exact_match,,If not available should be under related resource with relationType='IsSupplementTo'
,continuousIntegration,,,
dcterms:contributor/affiliation,contributor/affiliation/name,exact_match,,
dcterms:contributor/identifier,contributor/identifier,more_specific_than,,
dcterms:contributor/name,contributor/name,exact_match,,
dcterms:contributor/type,contributor/roleName,,,
dcterms:rightsHolder/familyName,copyrightHolder/familyName,,,
dcterms:rightsHolder/givenName,copyrightHolder/givenName,,,
dcterms:rightsHolder/identifier,copyrightHolder/identifier,,,
dcterms:rightsHolder/name,copyrightHolder/name,,,
dcterms:dateCopyrighted,copyrightYear,exact_match,,
dcterms:created,dateCreated,exact_match,,
dcterms:modified,dateModified,exact_match,,
dcterms:issued,datePublished,exact_match,,
dcterms:description,description,exact_match,,
,developmentStatus,,,
dcterms:identifier,downloadUrl,exact_match,,
dcterms:contributor/affiliation,editor/affiliation/name,exact_match,,Where type is 'Editor'
dcterms:contributor/identifier,editor/identifier,more_specific_than,,Where type is 'Editor'
dcterms:contributor/name,editor/name,exact_match,,Where type is 'Editor'
dcterms:format,encoding,exact_match,,
dcterms:format,fileFormat,exact_match,,
,fileSize,,,
dcterms:identifier,funder/identifier,more_specific_than,,Funder metadata can be found under funder or funding/funder
dcterms:creator/funder/name,funder/name,exact_match,,Funder metadata can be found under funder or funding/funder
dcterms:identifier,funding/funder/identifier,more_specific_than,,Funder metadata can be found under funder or funding/funder
dcterms:creator/funder/name,funding/funder/name,exact_match,,Funder metadata can be found under funder or funding/funder
dcterms:identifier,funding/identifier,exact_match,,
dcterms:title,funding/name,exact_match,,
dcterms:identifier,funding/url,exact_match,,
dcterms:hasPart,hasPart,exact_match,,Where relationType='HasPart'
dcterms:hasPart,hasSourceCode,exact_match,,Where relationType='HasSource'
dcterms:identifier,identifier,exact_match,,
dcterms:accessRights,isAccessibleForFree,exact_match,,If value='open'
dcterms:isPartOf,isPartOf,exact_match,,Where relationType='IsPartOf'
dcterms:isPartOf,isSourceCodeOf,more_generic_than,,Where relationType='IsSourceOf'
,issueTracker,,,
dcterms:subject,keywords,exact_match,,
dcterms:license,license,exact_match,,
,maintainer/name,,,
,memoryRequirements,,,
dcterms:title,name,exact_match,,
,operatingSystem,,,
dcterms:accessRights,permissions,exact_match,,
,position,,,
,processorRequirements,,,
dcterms:contributor/affiliation,producer/affiliation/name,exact_match,,Where type is 'Producer'
dcterms:contributor/identifier,producer/identifier,more_specific_than,,Where type is 'Producer'
dcterms:contributor/name,producer/name,exact_match,,Where type is 'Producer'
dcterms:format/programmingLanguage,programmingLanguage,exact_match,,
dcterms:publisher,provider/name,exact_match,,
dcterms:publisher,publisher/name,exact_match,,
,readme,,,
dcterms:references,referencePublication,exact_match,,Where relationType='IsSupplementTo' and resourceType='publication-article'
dcterms:relation,relatedLink,more_generic_than,,
dcterms:description,releaseNotes,exact_match,,
dcterms:relation,review,exact_match,,Where relationType='IsReviewedBy'
,reviewAspect,,,
,reviewBody,,,
,runtimePlatform,,,
dcterms:relation,sameAs,exact_match,,Where relationType='IsIdenticalTo'
,softwareHelp,,,
dcterms:requires,softwareRequirements,exact_match,,
,softwareSuggestions,,,
dcterms:hasVersion,softwareVersion,exact_match,,
dcterms:contributor/affiliation,sponsor/affiliation/name,exact_match,,Where type is 'Sponsor'
dcterms:contributor/identifier,sponsor/identifier,more_specific_than,,Where type is 'Sponsor'
dcterms:contributor/name,sponsor/name,exact_match,,Where type is 'Sponsor'
,storageRequirements,,,
dcterms:relation,supportingData,exact_match,,Where relationType='IsSupplementedBy'
,targetProduct,,,
dcterms:identifier,url,exact_match,,
dcterms:hasVersion,version,exact_match,,
