source_term,codemeta_term,type_relation,combined_mapping,comments
id,identifier,exact_match,,
name,name,exact_match,,
description,description,exact_match,,
homepage,url,exact_match,,Maps homepage URL to url
source_code,codeRepository,exact_match,,
authors/name,author/name,exact_match,,"Authors name mapped directly"
references,citation/id,exact_match,,"Reference IDs mapped to citation IDs with API URLs"
references_year_alt,citation/datePublished,part_of,,"Year is part of citation but not directly mapped in CodeMeta"
classification,applicationSubCategory,exact_match,,Classification maps to applicationSubCategory
programming_languages,programmingLanguage,exact_match,,Programming languages maps directly to programmingLanguage
dependencies,softwareRequirements,exact_match,,Dependencies maps directly to softwareRequirements
keywords,keywords,exact_match,,Keywords maps directly to keywords property
zbmath_url,url,exact_match,,Maps zbmath_url to url
orms_id,identifier,exact_match,,Maps orms_id to identifier
standard_articles,referencePublication,exact_match,,New mapping added.
