source_term,codemeta_term,combined_mappings,comments
,applicationCategory,,
,applicationSubCategory,,
,author/affiliation/identifier,,
,author/affiliation/name,,
,author/email,,
,author/familyName,,
,author/givenName,,
,author/identifier,,
,author/roleName,,
,buildInstructions,,
,citation,,
,codeRepository,,
,continuousIntegration,,
,contributor/affiliation/identifier,,
,contributor/affiliation/name,,
,contributor/email,,
,contributor/familyName,,
,contributor/givenName,,
,contributor/identifier,,
,contributor/roleName,,
,copyrightHolder,,
,copyrightYear,,
,dateCreated,,
,dateModified,,
,datePublished,$(year)+$(month), 
,description,,
,developmentStatus,,
,downloadUrl,,
,editor,,
,embargoEndDate,,
,encoding,,
,endDate,,
,fileFormat,,
,fileSize,,
,funder/name,,
,funding,,
,hasPart,,
,hasSourceCode,,
,identifier,,
,installUrl,,
,isAccessibleForFree,,
,isPartOf,,
,isSourceCodeOf,,
,issueTracker,,
,keywords,,
,license,,
,maintainer,,
,memoryRequirements,,
,name,,
,operatingSystem,,
,permissions,,
,position,,
,processorRequirements,,
,producer,,
,programmingLanguage,,
,provider,,
,publisher,,
,readme,,
,referencePublication,,
,relatedLink,,
,releaseNotes,,
,review,,
,reviewAspect,,
,reviewBody,,
,runtimePlatform,,
,sameAs,,
,softwareHelp,,
,softwareRequirements,,
,softwareSuggestions,,
,softwareVersion,,
,sponsor,,
,startDate,,
,storageRequirements,,
,supportingData,,
,targetProduct,,
,url,,
,version,,
