Property,BibTeX (@softwareversion)
codeRepository,repository
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,file
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,version
storageRequirements,
supportingData,
author,author
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,date / (year) / (month)
editor,editor
encoding,
fileFormat,
funder,
keywords,
license,license
producer,
provider,
publisher,publisher
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,abstract
identifier,doi / hal_id
name,title
sameAs,
url,url
relatedLink,
givenName,
familyName,
email,
affiliation,organization
identifier,
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,
issueTracker,
referencePublication,
readme,
hasSourceCode,
isSourceCodeOf,
