Property,Cabal (Haskell)
codeRepository,
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,package-url
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,author
citation,
contributor,
copyrightHolder,copyright
copyrightYear,copyright
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,category
license,license / license-file / license-files
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,synopsis / description
identifier,
name,name
sameAs,
url,homepage
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
type,
id,
softwareSuggestions,
maintainer,maintainer
contIntegration,
buildInstructions,
developmentStatus,stability
embargoDate,
funding,
issueTracker,bug-reports
referencePublication,
readme,
,
,
,
,
,
,
,
,
