Property,Packagist
codeRepository,support.source
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,type
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,require
softwareVersion,version
storageRequirements,
supportingData,
author,authors
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,keywords
license,license
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,name
name,name
sameAs,
url,homepage
relatedLink,
givenName,
familyName,
email,author.email
affiliation,
identifier,
name,author.name
address,
type,
id,
softwareSuggestions,suggest
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,support.issues
referencePublication,
readme,
