Parent Type;Conda
schema:SoftwareSourceCode;codeRepository
schema:SoftwareSourceCode;programmingLanguage
schema:SoftwareSourceCode;
schema:SoftwareSourceCode;
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;downloadLink
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;depends
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:SoftwareApplication;
schema:CreativeWork;agents
schema:CreativeWork;relatedLink
schema:CreativeWork;
schema:CreativeWork;agents [role=copyrightHolder]
schema:CreativeWork;
schema:CreativeWork;dateCreated
schema:CreativeWork;dateModified
schema:CreativeWork;datePublished
schema:CreativeWork;
schema:CreativeWork;
schema:CreativeWork;
schema:CreativeWork;fundingReference.funderName
schema:CreativeWork;controlledTerms
schema:CreativeWork;licenseId
schema:CreativeWork;
schema:CreativeWork;
schema:CreativeWork;publisher
schema:CreativeWork;
schema:CreativeWork;version
schema:CreativeWork;
schema:CreativeWork;
schema:CreativeWork;
schema:CreativeWork;
schema:Thing;description
schema:Thing;identifier
schema:Thing;name
schema:Thing;
schema:Thing;URL
schema:Thing;
schema:Person;
schema:Person;
schema:Person;email
schema:Person;affiliation
schema:Person;identifier
schema:Person;
schema:Person;
schema;
schema;
codemeta:SoftwareSourceCode;suggests
codemeta:SoftwareSourceCode;uploadedBy
codemeta:SoftwareSourceCode;contIntegration
codemeta:SoftwareSourceCode;buildInstructions
codemeta:SoftwareSourceCode;developmentStatus
codemeta:SoftwareSourceCode;embargoDate
codemeta:SoftwareSourceCode;funding
codemeta:SoftwareSourceCode;issueTracker
codemeta:SoftwareSourceCode;relatedPublications
codemeta:SoftwareSourceCode;readme
;relatedIdentifer
;
