Property,DCAT-3
codeRepository,dcat:accessURL
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,dcat:downloadURL
fileSize,dcat:byteSize
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,adms:versionNotes
softwareHelp,
softwareRequirements,
softwareVersion,dcat:version
storageRequirements,
supportingData,dcat:qualifiedRelation
author,dcterms:creator
citation,dcterms:references
contributor,dcterms:contributor
copyrightHolder,dcterms:rights
copyrightYear,dcterms:rights
dateCreated,dcterms:created
dateModified,dcterms:modified
datePublished,dcterms:issued
editor,prov:qualifiedAttribution
encoding,dcterms:conformsTo
fileFormat,dcat:mediaType
funder,prov:qualifiedAttribution
keywords,dcat:keyword
license,dcterms:license
producer,prov:qualifiedAttribution
provider,prov:qualifiedAttribution
publisher,dcterms:publisher
sponsor,prov:qualifiedAttribution
version,dcat:version
isAccessibleForFree,
isPartOf,dcterms:isPartOf
hasPart,dcterms:hasPart
position,
description,dcterms:description
identifier,dcterms:identifier
name,dcterms:title
sameAs,dcat:qualifiedRelation
url,dcat:landingPage
relatedLink,dcterms:relation
givenName,
familyName,
email,
affiliation,
identifier,dcterms:identifier
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,dcat:qualifiedRelation
maintainer,prov:qualifiedAttribution
continuousIntegration,dcat:qualifiedRelation
buildInstructions,dcat:qualifiedRelation
developmentStatus,
embargoEndDate,
funding,
issueTracker,dcat:qualifiedRelation
referencePublication,dcat:qualifiedRelation
readme,dcat:qualifiedRelation
hasSourceCode,dcat:qualifiedRelation
isSourceCodeOf,dcat:qualifiedRelation
