Property,DOAP
codeRepository,repository/location
programmingLanguage,programming-language
review,
runtimePlatform,platform
targetProduct,
applicationCategory,category
applicationSubCategory,category
downloadUrl,download-page
fileSize,
installUrl,download-mirror
memoryRequirements,
operatingSystem,os
permissions,
processorRequirements,
releaseNotes,
softwareHelp,support-forum
softwareRequirements,
softwareVersion,release
storageRequirements,
supportingData,
author,developer
citation,
contributor,developer
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,category
license,license
producer,
provider,
publisher,vendor
sponsor,
version,revision
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,
name,name
sameAs,
url,homepage
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,name
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,maintainer
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,
issueTracker,bug-database
referencePublication,blog
readme,
hasSourceCode,repository
isSourceCodeOf,repositoryOf
,
,
,
,
,
,
,
,
