Property,DataCite
codeRepository,
programmingLanguage,Format
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,creators
citation,
contributor,
copyrightHolder,
copyrightYear,
creator,
dateCreated,date
dateModified,date
datePublished,publicationYear
editor,
encoding,
fileFormat,Format
funder,
keywords,subject
license,rights
producer,
provider,
publisher,publisher
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,identifier
name,
sameAs,
url,
relatedLink,RelateIdentifier
givenName,givenName
familyName,familyName
email,
affiliation,affiliation
identifier,nameIdentifier
name,
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,
referencePublication,
readme,
,
,
,
,
,
,
,
,
