Property,dublinCore
applicationCategory,subject
applicationSubCategory,creator/affiliation
author/affiliation/name,
author/email,
author/familyName,
author/givenName,creator/identifier
author/identifier,creator/name
author/name,
author/roleName,
buildInstructions,bibliographicCitation
citation,source
codeRepository,
continuousIntegration,contributor/affiliation
contributor/affiliation/name,contributor/identifier
contributor/identifier,contributor/name
contributor/name,contributor/type
contributor/roleName,rightsHolder/familyName
copyrightHolder/familyName,rightsHolder/givenName
copyrightHolder/givenName,rightsHolder/identifier
copyrightHolder/identifier,rightsHolder/name
copyrightHolder/name,dateCopyrighted
copyrightYear,created
dateCreated,modified
dateModified,issued
datePublished,description
description,
developmentStatus,identifier
downloadUrl,contributor/affiliation
editor/affiliation/name,contributor/identifier
editor/identifier,contributor/name
editor/name,format
encoding,format
fileFormat,
fileSize,identifier
funder/identifier,creator/funder/name
funder/name,identifier
funding/funder/identifier,creator/funder/name
funding/funder/name,identifier
funding/identifier,title
funding/name,identifier
funding/url,hasPart
hasPart,hasPart
hasSourceCode,identifier
identifier,accessRights
isAccessibleForFree,isPartOf
isPartOf,isPartOf
isSourceCodeOf,
issueTracker,subject
keywords,license
license,
maintainer/name,
memoryRequirements,title
name,
operatingSystem,accessRights
permissions,
position,
processorRequirements,contributor/affiliation
producer/affiliation/name,contributor/identifier
producer/identifier,contributor/name
producer/name,format/programmingLanguage
programmingLanguage,publisher
provider/name,publisher
publisher/name,
readme,references
referencePublication,relation
relatedLink,description
releaseNotes,relation
review,
reviewAspect,
reviewBody,
runtimePlatform,relation
sameAs,
softwareHelp,requires
softwareRequirements,
softwareSuggestions,hasVersion
softwareVersion,contributor/affiliation
sponsor/affiliation/name,contributor/identifier
sponsor/identifier,contributor/name
sponsor/name,
storageRequirements,relation
supportingData,
targetProduct,identifier
url,hasVersion
version,


