Property,Figshare
codeRepository,relatedLink
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,categories
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,date_retrieved
editor,
encoding,
fileFormat,
funder,
keywords,tags
license,License
producer,
provider,
publisher,
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
description,Description
identifier,
name,Title
sameAs,
url,
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,ORCID
name,name
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,embargo_date
funding,
issueTracker,
referencePublication,
readme,
hasSourceCode,
isSourceCodeOf,
