Property,HAL
codeRepository,softCodeRepository_s
programmingLanguage,softProgrammingLanguage_s
review,
runtimePlatform,softRuntimePlatform_s
targetProduct,
applicationCategory,en_domainAllCodeLabel_fs
applicationSubCategory,	
downloadUrl,files_s
fileSize,
installUrl,
memoryRequirements,
operatingSystem,softPlatform_s
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,	
softwareVersion,softVersion_s
storageRequirements,	
supportingData,	
author,
citation,
contributor,
copyrightHolder,
copyrightYear,	
dateCreated,
dateModified,	
datePublished,producedDate_s
editor,
encoding,
fileFormat,	
funder,
keywords,keyword_s
license,licence_s
producer,	
provider,	
publisher,publisher_s
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,abstract_s
identifier,	
name,title_s
sameAs,
url,
relatedLink,seeAlso_s
givenName,authFirstName_s
familyName,authLastName_s
email,authEmail_s
affiliation,authOrganism_s
identifier,	
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,	
startDate,
softwareSuggestions,relatedSoftware_s
maintainer,
continuousIntegration,	
buildInstructions,	
developmentStatus,softDevelopmentStatus_s
embargoEndDate,
funding,funding_s
issueTracker,
referencePublication,relatedPublication_s
readme,
hasSourceCode,
isSourceCodeOf,
