Property,ISO 19115-1:2014 Geographic information
codeRepository,
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,identificationInfo.descriptiveKeywords[type='theme'].keyword*
applicationSubCategory,identificationInfo.descriptiveKeywords[type='theme'].keyword*
downloadUrl,distributionInfo.distributor.distributorTransferOptions.onLine[function='download'].linkage or distributionInfo.transferOptions.onLine[function='download'].linkage or identificationInfo.citation.onlineResource[function='download'].linkage
fileSize,distributionInfo.transferOptions.transferSize or distributionInfo.distributionFormat.formatDistributor.distributorTransferOptions.transferSize or  distributionInfo.distributor.distributorTransferOptions.transferSize
installUrl,distributionInfo.distributor.distributorTransferOptions.onLine[function='download'].linkage or distributionInfo.transferOptions.onLine[function='download'].linkage or identificationInfo.citation.onlineResource[function='download'].linkage
memoryRequirements,identificationInfo.environmentDescription*
operatingSystem,identificationInfo.environmentDescription*
permissions,identificationInfo.resourceConstraints or identificationInfo.resourceConstraints.reference.onlineResource.linkage
processorRequirements,identificationInfo.environmentDescription*
releaseNotes,identificationInfo.additionalDocumentation*
softwareHelp,identificationInfo.additionalDocumentation*
softwareRequirements,identificationInfo.additionalDocumentation*
softwareVersion,identificationInfo.citation.edition
storageRequirements,identificationInfo.environmentDescription*
supportingData,identificationInfo.associatedResource.name*
author,identificationInfo.citation.citedResponsibleParty[role='author'].party.name or identificationInfo.citation.citedResponsibleParty[role='originator'].party.name
citation,identificationInfo.associatedResource.name*
contributor,identificationInfo.citation.citedResponsibleParty[not(role='author' or role='principalInvestigator' or role='originator')].party.name*
copyrightHolder,identificationInfo.resourceConstraints.reference.citedResponsibleParty
copyrightYear,identificationInfo.resourceConstraints.reference.date[dateType='publication'].date
dateCreated,identificationInfo.citation.date[dateType='creation'].date*
dateModified,identificationInfo.citation.date[dateType='revision'].date*
datePublished,identificationInfo.citation.date[dateType='publication'].date*
editor,identificationInfo.citation.citedResponsibleParty[role='editor'].party.name*
encoding,
fileFormat,identificationInfo.resourceFormat.formatSpecificationCitation
funder,identificationInfo.citation.citedResponsibleParty[role='funder'].party.name*
keywords,identificationInfo.descriptiveKeywords[type='theme'].keyword*
license,identificationInfo.resourceConstraints.reference
producer,identificationInfo.citation.citedResponsibleParty[role='creator'].party.name*
provider,identificationInfo.pointOfContact[role='pointOfContact'].party.name*
publisher,identificationInfo.citation.citedResponsibleParty[role='publisher'].party.name*
sponsor,identificationInfo.citation.citedResponsibleParty[role='sponsor'].party.name*
version,identificationInfo.citation.edition
isAccessibleForFree,distributionInfo.distributionFormat.formatDistributor.distributionOrderProcess.fees
isPartOf,identificationInfo.associatedResource[associationType='LargerWorkCitation'].name*
hasPart,identificationInfo.associatedResource[associationType='isComposedOf'].name*
position,
description,identificationInfo.abstract
identifier,identificationInfo.citation.identifier.code
name,identificationInfo.citation.title
sameAs,identificationInfo.citation.onlineResource[function='information']*
url,identificationInfo.citation.onlineResource[function='download']*
relatedLink,identificationInfo.citation.onlineResource[function='information']*
givenName,party.name*
familyName,party.name*
email,party.contactInfo.address.electronicMailAddress
affiliation,party.name*
identifier,identificationInfo.citation.identifier.code
name,identificationInfo.citation.title
address,party.contactInfo.address.deliveryPoint
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,identificationInfo.additionalDocumentation*
maintainer,identificationInfo.pointOfContact
continuousIntegration,identificationInfo.additionalDocumentation*
buildInstructions,identificationInfo.additionalDocumentation*
developmentStatus,identificationInfo.status
embargoEndDate,
funding,identificationInfo.associatedResource*
issueTracker,identificationInfo.resourceSpecificUsage.identifiedIssues.onlineResource.linkage
referencePublication,identificationInfo.additionalDocumentation*
readme,
hasSourceCode,identificationInfo.additionalDocumentation*
isSourceCodeOf,
