Property,Java (Maven)
codeRepository,scm / repositories
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,prerequisites
softwareVersion,
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,
license,license
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,groupId
name,name
sameAs,
url,
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,ciManagement
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,issueManagement
referencePublication,
readme,
,
,
,
,
,
,
,
,
