Property,MODS
codeRepository,location/url[@access='object in context']
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,location/url[@displayName='Download URL']
fileSize,physicalDescription/extent
installUrl,location/url[@displayName='Install URL']
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,originInfo/edition
storageRequirements,
supportingData,relatedItem[@type='references']
author,name/role/roleTerm[@type='code']/[.='aut']
citation,relatedItem[@otherType='references']
contributor,name/role/roleTerm[@type='code']/[.='ctb']
copyrightHolder,accessCondition/rights.holder/name
copyrightYear,accessCondition/creation/year.creation
dateCreated,originInfo/dateCreated
dateModified,originInfo/dateModified
datePublished,originInfo/dateIssued
editor,name/role/roleTerm[@type='code']/[.='edt']
encoding,
fileFormat,typeOfResource
funder,name/role/roleTerm[@type='code']/[.='fnd']
keywords,subject
license,accessCondition[@type='use and reproduction']
producer,name/role/roleTerm[@type='code']/[.='pro']
provider,name/role/roleTerm[@type='code']/[.='prv']
publisher,originInfo/publisher
sponsor,name/role/roleTerm[@type='code']/[.='spn']
version,originInfo/edition
isAccessibleForFree,
isPartOf,part
hasPart,
position,part/[@order]
description,abstract
identifier,identifier
name,titleInfo/title
sameAs,location/url[@displayName='Same As']
url,location/url
relatedLink,relatedItem/location/url[@displayName='Related Link']
givenName,name/namePart[@type='given']
familyName,name/namePart[@type='family']
email,
affiliation,name/affiliation
identifier,identifier / name/nameIdentifier
name,name/namePart
address,name/affiliation
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,relatedItem
maintainer,name/role/roleTerm[@type='code']/[.='crp']
continuousIntegration,relatedItem/location/url[@displayName='Continuous Integration Service']
buildInstructions,relatedItem/location/url[@displayName='Build Instructions']
developmentStatus,
embargoEndDate,accessCondition[@type='restriction on access']
funding,
issueTracker,"relatedItem/location/url[@displayName='Issue Tracker']"
referencePublication,relatedItem[@type='isReferencedBy']
readme,relatedItem[@type='constituent']
