Property,NuGet
codeRepository,repository.url
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,releaseNotes
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,authors
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,tags
license,license/licenseUrl
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description/summary
identifier,
name,name
sameAs,
url,projectUrl
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,id
name,
address,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
embargoEndDate,
funding,
issueTracker,
referencePublication,
readme,
