Property,Octave
codeRepository,
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,Categories
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,"Depends, SystemRequirements"
softwareVersion,
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,Date
editor,
encoding,
fileFormat,
funder,
keywords,
license,License
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,Description
identifier,
name,name
sameAs,
url,URL
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,BuildDepends
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,
issueTracker,Problems
referencePublication,
readme,
hasSourceCode,
isSourceCodeOf,
