Property,Python Distutils (PyPI)
codeRepository,
programmingLanguage,classifiers['Programming Language']
review,
runtimePlatform,
targetProduct,
applicationCategory,classifiers['Topic']
applicationSubCategory,
downloadUrl,download_url
fileSize,
installUrl,
memoryRequirements,
operatingSystem,classifiers['Operating System']
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,install_requires
softwareVersion,
storageRequirements,
supportingData,
author,author
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,keywords
license,license
producer,
provider,
publisher,
sponsor,
version,Version
isAccessibleForFree,
isPartOf,
hasPart,
description,"description, long_description"
identifier,
name,name
sameAs,
url,url
relatedLink,
givenName,
familyName,
email,author_email
affiliation,
identifier,
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,maintainer / maintainer_email
continuousIntegration,
buildInstructions,
developmentStatus,classifiers['Development Status']
embargoEndDate,
funding,
issueTracker,
referencePublication,
readme,
hasSourceCode,
isSourceCodeOf,
