Property,Python PKG-INFO
codeRepository,
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,Download-URL
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,Requires
softwareVersion,
storageRequirements,
supportingData,
author,Author
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,Keywords
license,License
producer,
provider,
publisher,
sponsor,
version,Version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,Summary / Description
identifier,
name,Name
sameAs,
url,Home-Page
relatedLink,
givenName,
familyName,
email,Author-email
affiliation,
identifier,
name,
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,
referencePublication,
readme,
,
,
,
,
,
,
,
,
