Property,SPDX 2.3
codeRepository,PackageSourceInfo
programmingLanguage,
review,Annotation
runtimePlatform,
targetProduct,
applicationCategory,PrimaryPackagePurpose
applicationSubCategory,
downloadUrl,PackageDownloadLocation
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,PackageVersion
storageRequirements,
supportingData,
author,PackageOriginator
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,BuiltDate
dateModified,
datePublished,ReleaseDate
editor,
encoding,
fileFormat,FileType
funder,
keywords,
license,PackageLicenseConcluded
producer,PackageOriginator
provider,PackageSupplier
publisher,
sponsor,
version,PackageVersion
isAccessibleForFree,
isPartOf,CONTAINED_BY
hasPart,CONTAINS
position,
description,PackageSummary / PackageDescription
identifier,
name,PackageName
sameAs,
url,PackageHomePage
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,PackageOriginator
address,
reviewAspect,AnnotationType
reviewBody,AnnotationComment
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,
issueTracker,
referencePublication,
readme,
hasSourceCode,PackageSourceInfo
isSourceCodeOf,GENERATED_FROM
