Property,SciCrunchRegistry
codeRepository,
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,
citation,Proper Citation
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,Funding Agency
keywords,Keywords/Related Condition
license,Availability
producer,
provider,
publisher,
sponsor,
version,
isAccessibleForFree,
isPartOf,Parent Organization
hasPart,Resource Relationships
description,Description
identifier,Resource ID/Alternate IDs
name,Resource Name
sameAs,Abbreviations/Synonyms
url,Resource Website/Old URLs/Alternate URLs
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,
issueTracker,
referencePublication,Defining Citation
readme,
hasSourceCode,
isSourceCodeOf,
