Property,VIVO
codeRepository,
programmingLanguage,
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,version
storageRequirements,
supportingData,
author,relatedBy.relates
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,date/time value
editor,
encoding,
fileFormat,
funder,informationResourceSupportedBy.assignedBy
keywords,freetextKeywords
license,
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,partOf
hasPart,hasPart
position,
description,abstract
identifier,SWHID
name,label
sameAs,sameAs
url,has contact info.hasUrl
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier, relatedBy.relates.ORCID iD
name, relatedBy.relates.label
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding, informationResourceSupportedBy.label
issueTracker,
referencePublication,
readme,
hasSourceCode,
isSourceCodeOf,
