Property,Wikidata
codeRepository,source code repository
programmingLanguage,programming language
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,operating system
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,depends on software
softwareVersion,software version
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
creator,
dateCreated,
dateModified,
datePublished,publication date
editor,editor
encoding,
fileFormat,
funder,
keywords,
license,license
producer,
provider,
publisher,
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,
identifier,
name,
sameAs,
url,official website
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,bug tracking system
referencePublication,
readme,
,
,
,
,
,
,
,
,
