Property,bio.tools
codeRepository,
programmingLanguage,labels.language
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,operatingSystem
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,version
storageRequirements,
supportingData,
author,
citation,publication
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,topic.term
license,labels.license
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,
name,name
sameAs,
url,homepage
relatedLink,
givenName,
familyName,
email,email
affiliation,
identifier,
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,maturity
embargoEndDate,
funding,
issueTracker,
referencePublication,
readme,
hasSourceCode,
isSourceCodeOf,
