Property,code.json
codeRepository,repositoryURL
programmingLanguage,languages
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,downloadURL
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,SBOM
softwareVersion,version
storageRequirements,
supportingData,
author,contact
citation,
contributor,
copyrightHolder,organization
copyrightYear,
dateCreated,date.created
dateModified,date.lastModified
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,tags
license,permissions.licenses
producer,organization
provider,organization
publisher,organization
sponsor,
version,version
isAccessibleForFree,permissions.usageType
isPartOf,
hasPart,
position,
description,description
identifier,
name,name
sameAs,
url,homepageURL
relatedLink,
givenName,
familyName,
email,contact.email
affiliation,organization
identifier,
name,contact.name
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,date.created
softwareSuggestions,
maintainer,contact
continuousIntegration,
buildInstructions,
developmentStatus,status
embargoEndDate,
funding,contractNumber
issueTracker,feedbackMechanism
referencePublication,
readme,
hasSourceCode,
isSourceCodeOf,
