Property,codemeta-V2
codeRepository,codeRepository
programmingLanguage,programmingLanguage
review,
runtimePlatform,runtimePlatform
targetProduct,targetProduct
applicationCategory,applicationCategory
applicationSubCategory,applicationSubCategory
downloadUrl,downloadUrl
fileSize,fileSize
installUrl,installUrl
memoryRequirements,memoryRequirements
operatingSystem,operatingSystem
permissions,permissions
processorRequirements,processorRequirements
releaseNotes,releaseNotes
softwareHelp,softwareHelp
softwareRequirements,softwareRequirements
softwareVersion,softwareVersion
storageRequirements,storageRequirements
supportingData,supportingData
author,author
citation,citation
contributor,contributor
copyrightHolder,copyrightHolder
copyrightYear,copyrightYear
dateCreated,dateCreated
dateModified,dateModified
datePublished,datePublished
editor,editor
encoding,encoding
fileFormat,fileFormat
funder,funder
keywords,keywords
license,license
producer,producer
provider,provider
publisher,publisher
sponsor,sponsor
version,version
isAccessibleForFree,isAccessibleForFree
isPartOf,isPartOf
hasPart,hasPart
position,position
description,description
identifier,identifier
name,name
sameAs,sameAs
url,url
relatedLink,relatedLink
givenName,givenName
familyName,familyName
email,email
affiliation,affiliation
identifier,identifier
name,name
address,address
reviewAspect,
reviewBody,
endDate,endDate
roleName,roleName
startDate,startDate
softwareSuggestions,softwareSuggestions
maintainer,maintainer
continuousIntegration,contIntegration
buildInstructions,buildInstructions
developmentStatus,developmentStatus
embargoEndDate,embargoDate
funding,funding
issueTracker,issueTracker
referencePublication,referencePublication
readme,readme
hasSourceCode,
isSourceCodeOf,
,
,
,
,
,
,
,
,
