Property,hydroshare-modelprogram
codeRepository,ModelProgramMetadata.code_repository
programmingLanguage,ModelProgramMetadata.programming_languages
review,ResourceMetadata.published
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,ModelProgramMetadata.file_types
fileSize,
installUrl,
memoryRequirements,
operatingSystem,ModelProgramMetadata.operating_systems
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,ModelProgramMetadata.version
storageRequirements,
supportingData,
author,ModelProgramMetadata.creators / ResourceMetadata.creators
citation,ResourceMetadata.citation
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,ModelProgramMetadata.release_date
datePublished,ResourceMetadata.published
editor,
encoding,
fileFormat,
funder,
keywords,ModelProgramMetadata.subjects / ResourceMetadata.subjects

license,ModelProgramMetadata.rights
producer,
provider,
publisher,
sponsor,
version,ModelProgramMetadata.version
isAccessibleForFree,
isPartOf,ResourceMetadata.relations
hasPart,ResourceMetadata.relations
position,
description,
identifier,
name,ResourceMetadata.title
sameAs,ResourceMetadata.relations
url,ModelProgramMetadata.website / ModelProgramMetadata.url
relatedLink,ResourceMetadata.relations
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,ResourceMetadata.awards
issueTracker,
referencePublication,ResourceMetadata.relations
readme,
hasSourceCode,
isSourceCodeOf,
