Property,SPASE
codeRepository, AccessInformation/RepositoryID
programmingLanguage,codeLanguage
review,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,AccessURL/URL
fileSize,
installUrl,ExecutionEnvironment/Installer/URL
memoryRequirements,ExecutionEnvironment/Memory
operatingSystem,OperatingSystem
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,SoftwareVersion
storageRequirements,ExecutionEnvironment/Storage
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,ResourceHeader/ReleaseDate
editor,
encoding,AccessInformation/Encoding
fileFormat,AccessInformation/Format
funder,ResourceHeader/Funding
keywords,
license,
producer,
provider,
publisher,
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,ResourceHeader/Description
identifier,ResourceID
name,ResourceHeader/ResourceName
sameAs,
url,
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,ResourceHeader/DOI
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,ResourceHeader/Funding
issueTracker,
referencePublication,ResourceHeader/PublicationInfo
readme,
hasSourceCode,
isSourceCodeOf,
