Property,usgs-modelcatalog
codeRepository,software.usgs_software_gitlab_release_urls / software.external_software_repository_urls
programmingLanguage,programming_language
review,
runtimePlatform,
targetProduct,
applicationCategory,item_type
applicationSubCategory,type_keywords
downloadUrl,software.download_url
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,version
storageRequirements,
supportingData,
author,person when person_type=Author
citation,publications.model_citations
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,last_update
datePublished,release_date
editor,
encoding,
fileFormat,
funder,
keywords,science_keywords / other_keywords
license,license
producer,organization / external_organization_name
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,related_modelcatalog_assets
hasPart,related_modelcatalog_assets
position,
description,description
identifier,identifier.url
name,name
sameAs,
url,other_links.usgs_website
relatedLink,other_links.weblinks
givenName,
familyName,
email,person.email
affiliation,person.organization
identifier,person.orcid
name,person.name
address,address
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,
issueTracker,
referencePublication,publications.primary_publications / publications.model_citations
readme,
hasSourceCode,
isSourceCodeOf,
