Full name of License,License Identifier,Source/url,Notes,OSI Approved,Standard License Header,Template,License List Version,License List Release Date,,Markup in .txt file?,OSI questions or issues,Changes for v1.16 - issues,changes for v1.17,changes for v1.18,changes for v1.19,changes for v1.20,changes for v2.0rc2,changes for v2.0rc3 / 2.0,changes for v2.1,changes for v2.2,changes for v2.3,changes for v2.4,changes for v2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dfx Glide License,Glide,http://www.users.on.net/~triforce/glidexp/COPYING.txt,,,,Glide.txt,2.5,2016-06-30,,,,,,,,NEW-Fedora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstyles License,Abstyles,https://fedoraproject.org/wiki/Licensing/Abstyles,,,,Abstyles.txt,,,,,,,,,,NEW-Fedora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Free License v1.1,AFL-1.1,http://opensource.linux-mirror.org/licenses/afl-1.1.txt,This license has been superseded by later versions.,YES,Licensed under the Academic Free License version 1.1.,AFL-1.1.txt,,,,,OSI mirror link no longer works; not on OSI site,OSI issue resolved - is OSI approved;  may still need to update link later when OSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Free License v1.2,AFL-1.2,http://opensource.linux-mirror.org/licenses/afl-1.2.txt,This license has been superseded by later versions.,YES,Licensed under the Academic Free License version 1.2,AFL-1.2.txt,,,,,OSI mirror link no longer works; not on OSI site,OSI issue resolved - is OSI approved;  may still need to update link later when OSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Free License v2.0,AFL-2.0,http://opensource.linux-mirror.org/licenses/afl-2.0.txt,,YES,Licensed under the Academic Free License version 2.0,AFL-2.0.txt,,,,,OSI mirror link no longer works; not on OSI site,OSI issue resolved - is OSI approved;  may still need to update link later when OSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Free License v2.1,AFL-2.1,http://opensource.linux-mirror.org/licenses/afl-2.1.txt,,YES,Licensed under the Academic Free License version 2.1,AFL-2.1.txt,,,,,OSI mirror link no longer works; not on OSI site,OSI issue resolved - is OSI approved;  may still need to update link later when OSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Free License v3.0,AFL-3.0,"http://www.rosenlaw.com/AFL3.0.htm
http://www.opensource.org/licenses/afl-3.0",,YES,Licensed under the Academic Free License version 3.0,AFL-3.0.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Motion Picture Arts and Sciences BSD,AMPAS,https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD,,,,AMPAS.txt,,,,,,,,,,NEW-Fedora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptive Public License 1.0,APL-1.0,http://www.opensource.org/licenses/APL-1.0,,YES,<various notices depending on terms chosen for license - see Exhibit A>,APL-1.0.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Glyph List License,Adobe-Glyph,https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph,,,,Adobe-Glyph.txt,,,,,,,,,,NEW-Fedora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
