Concept,Concept Definition,Use Cases,CodeMeta Field,Zenodo,Figshare,code.jsonld,Software Discovery Index,Software Ontology,OntoSoft,DataCite,Software Entities Model (DataCitei/JISC),Dublin Core,R Package Description,Debian Package Metadata,GitHub
SoftwareTitle,Title of the software,"1, 3, 5a-d",title,title,Title,title,Software title,software,hasName -> TextEntity,Title,Title,title,Title,,name
SoftwareIdentifier,A unique identifier associated with the software,"2, 3, 4, 5, 6, 8, 9, ",identifier,id,?,identifier,Persistent identifier,-,hasUniqueId -> Identifier,Identifier,Identifier,identifier,Package,Package,id or full_name?
SoftwareAuthor,The software author,"3, 4, 5, 8, ",author,creators,Authors(s),author,Author names and affiliations,software developer organization,,Creator,Creator,creator,Authors@R person(role=“aut”),Maintainer,owner
AuthorFirstName,The name of the author,,name,creators.givennames,Name,name,-,-,,creatorName,,-,"Authors@R person(given, family)",-,
AuthorLastName,,,,creators.familyname,,,,,,,,,,,
AuthorId,"A unique identifier associated with the software author, for example an https://orcid.org ","3, 4, 5, 6, 8, 9",id,creators.orcid,id(internal id/ORCID),id(ORCID),-,-,,nameIdentifier,,-,-,-,
AuthorEmail,The author’s email address,,email,-,-,email,-,-,,-,,-,Authors@R person(email),-,
AuthorAffiliation,The organization the author is affiliated with,,affiliation,creators.affiliation,-,affiliation,-,-,,affiliation,,-,-,-,
SoftwareContributor,Contributors to the software other than the author,"3, 4, 5, 8, ",contributor,contributors,,contributor,,contributor,hasMajorContributor -> contributor,,Contributor,,Authors@R person(role=“ctb”),-,contributors_url
UploadedBy,The user identity that uploaded the software to an online repository,"9, 11",uploadedBy,owners (?),-,uploadedBy,-,-,,-,,-,-,-,
ControlledTerm,Keywords associated with the software,"1, 3",controlledTerm,communities,category,,-,-,,-,,-,-,-,
ObjectType,"A category of the object (controlled list, such as software, paper, data, image...)",,objectType,upload_type,file_type,type,-,-,,ResourceType,ResourceType(resourceTypeGeneral=Software),type,Type,Package-Type,
Tags,Terms used to describe the software and to facilitate search and discovery,"1, 3",tags,keywords,tags,keywords,-,,hasSoftwareCategory -> SoftwareCategory,Subject,Subject,subject,-,-,
Description,A description of the software,"1, 2, 3, 4, 7, 9, 11",description,description/notes,Description,description,Human-readable synopsis,software,Software Description,Description,Description,description,Description,Description,description
RelatedLink,A URL that provides additional information or resources related to the software,"1, 3",relatedLink,related_identifiers,links,codeRepository,-,-,,RelatedIdentifier,,relation,-,HomePage,homepage
