Concept,Concept Definition,Use Cases,CodeMeta Field,Zenodo,Figshare,code.jsonld,Software Discovery Index,Software Ontology,OntoSoft,DataCite,Software Entities Model (DataCitei/JISC),Dublin Core,R Package Description,Debian Package Metadata,github,ASCL
SoftwareTitle,Title of the software,"1, 3, 4, 5",title,title,Title,title,Software title,software,hasName -> TextEntity,Title,Title,title,Title,,name,title
SoftwareIdentifier,A unique identifier associated with the software,1-12,identifier,id,?,identifier,Persistent identifier,-,hasUniqueId -> Identifier,Identifier,Identifier,identifier,Package,Package,id,ascl_id 
IdentiferNamespace,"Authority using this identifier: e.g. doi.org, or cran.r-project.org",1-12,,,,,,,,,,,,,,
SoftwareAuthor,The software author,"3, 4, 5",author,creators,Authors(s),author,Author names and affiliations,software developer organization,,Creator,Creator,creator,Authors@R person(role=“aut”),Maintainer,owner,
AuthorName,The name of the author,"3, 4, 5",name,name,Name,name,-,-,,creatorName,,-,"Authors@R person(given, family)",-,,credit
AuthorId,"A unique identifier associated with the software author, for example an https://orcid.org ","3, 4, 5",id,-,id(internal id/ORCID),id(ORCID),-,-,,nameIdentifier,,-,-,-,,
AuthorEmail,The author’s email address,"3, 4, 5",email,-,-,email,-,-,,-,,-,Authors@R person(email),-,,email
AuthorAffiliation,The organization the author is affiliated with,"3, 4, 5",affiliation,affiliation,-,affiliation,-,-,,affiliation,,-,-,-,,
SoftwareContributor,Contributors to the software other than the author,"3, 4, 5",contributor,,,contributor,,contributor,hasMajorContributor -> contributor,,Contributor,,Authors@R person(role=“ctb”),-,contributors_url,
UploadedBy,The user identity that uploaded the software to an online repository,"3, 4, 5",uploadedBy,?,-,uploadedBy,-,-,,-,,-,-,-,,added_by
ControlledTerm,Keywords associated with the software,"1, 3",controlledTerm,communities,category,,-,-,,-,,-,-,-,,
ObjectType,"A category of the object (controlled list, such as software, paper, data, image...)",1-12,objectType,upload_type,file_type,type,-,-,,ResourceType,ResourceType(resourceTypeGeneral=Software),type,Type,Package-Type,,
Tags,Terms used to describe the software and to facilitate search and discovery,"1, 3",tags,keywords,tags,keywords,-,,hasSoftwareCategory -> SoftwareCategory,Subject,Subject,subject,-,-,,
Description,A description of the software,"(1), 3, (4), (9)",description,description/notes,Description,description,Human-readable synopsis,software,Software Description,Description,Description,description,Description,Description,description,abstract
RelatedLink,A URL that provides additional information or resources related to the software,"1-9, 11-12",relatedLink,related_identifiers,links,codeRepository,-,-,,RelatedIdentifier,,relation,-,-,,
CodeRepositoryLink,The repository containing the software source,"1, 2, 3, 7, 9, (11), (12)",codeRepository,-,-,codeRepository,Links to code repository,-,hasCodeLocation -> Location,-,,-,URL,HomePage,git_url,site_list
ReadmeLink,A URL for the software README file,"1, 2, 3",readme,-,-,-,-,-,,RelatedIdentifier(relationType = isDocumentedBy),,-,-,-,,
BuildLink,A URL for the software build instructions,"2,3,4",buildInstructions,-,-,-,-,-,,-,,-,-,-,,
CILink,A URL for the continuous integration system used to build the software,"2, 3, 9",contIntegration,-,-,-,-,-,,-,,-,-,-,,
IssueLink,A URL for the issue tracking system used for the software,"1, 2,  3, 7, 8, 11",issueTracker,-,-,-,-,,hasCommitmentOfSupport -> TextEntity,-,,-,BugReports,-,issues_url,
AccessList,The access policy governing access to the software,3,accessList,access_right(public/embargo/private),access(private/public),-,-,-,,-,,-,-,-,,
License,The name of the license agreement governing the use and redistribution of the software,"3, 10",license,license,License,license,Software license,software license,License,Rights,Rights,license,License,-,,
Publisher,The publisher of the software,3,publisher,,,publisher,,software publisher organization,hasPublisher -> Agent,,Publisher,,-,-,,
datePublished,The date the software was first made available for download by the publisher,"3,5,6",datePublished,publication_date,date_retrieved,datePublished,-,-,,PublicationYear,PublicationYear,date,Date,-,,
