"","Concept","Concept Definition.x","Use Cases.x","CodeMeta Field.x","Zenodo.x","Figshare.x","code.jsonld.x","Software Discovery Index.x","Software Ontology.x","OntoSoft.x","DataCite.x","Software Entities Model (DataCitei/JISC).x","Dublin Core.x","R Package Description.x","Debian Package Metadata.x","GitHub","Concept Definition.y","Use Cases.y","CodeMeta Field.y","Zenodo.y","Figshare.y","code.jsonld.y","Software Discovery Index.y","Software Ontology.y","OntoSoft.y","DataCite.y","Software Entities Model (DataCitei/JISC).y","Dublin Core.y","R Package Description.y","Debian Package Metadata.y","github.x","Python Distutils (PyPI)","Trove Software Map","Perl Module Description (CPAN::Meta)","JavaScript package descption (npm)","Java (Maven)","Octave","Concept Definition","Use Cases","CodeMeta Field","Zenodo","Figshare","code.jsonld","Software Discovery Index","Software Ontology","OntoSoft","DataCite","Software Entities Model (DataCitei/JISC)","Dublin Core","R Package Description","Debian Package Metadata","github.y","ASCL"
"1","SoftwareTitle","Title of the software","1, 3, 5a-d","title","title","Title","title","Software title","software","hasName -> TextEntity","Title","Title","title","Title",NA,"name","Title of the software",356,"title","title","Title","title","Software title","software","hasName -> TextEntity","Title","Title","title","Title",NA,"name","name","Title","name","name","name","DESCRIPTION/Name","Title of the software","1, 3, 4, 5","title","title","Title","title","Software title","software","hasName -> TextEntity","Title","Title","title","Title",NA,"name","title"
"2","SoftwareIdentifier","A unique identifier associated with the software","2, 3, 4, 5, 6, 8, 9,","identifier","id","?","identifier","Persistent identifier","-","hasUniqueId -> Identifier","Identifier","Identifier","identifier","Package","Package","id or full_name?","A unique identifier associated with the software",35612,"identifier","id","?","identifier","Persistent identifier","-","hasUniqueId -> Identifier","Identifier","Identifier","identifier","Package","Package","id",NA,NA,NA,"name","groupId",NA,"A unique identifier associated with the software","1-12","identifier","id","?","identifier","Persistent identifier","-","hasUniqueId -> Identifier","Identifier","Identifier","identifier","Package","Package","id","ascl_id"
"3","SoftwareAuthor","The software author","3, 4, 5, 8,","author","creators","Authors(s)","author","Author names and affiliations","software developer organization",NA,"Creator","Creator","creator","Authors@R person(role=“aut”)","Maintainer","owner","The software author",3456,"author","creators","Authors(s)","author","Author names and affiliations","software developer organization",NA,"Creator","Creator","creator","Authors@R person(role=“aut”)","Maintainer","owner","author","Maintainers","author","author","developers","DESCRIPTION/Author, DESCRIPTION/Maintainer","The software author","3, 4, 5","author","creators","Authors(s)","author","Author names and affiliations","software developer organization",NA,"Creator","Creator","creator","Authors@R person(role=“aut”)","Maintainer","owner",NA
"4","AuthorFirstName","The name of the author",NA,"name","creators.givennames","Name","name","-","-",NA,"creatorName",NA,"-","Authors@R person(given, family)","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AuthorLastName",NA,NA,NA,"creators.familyname",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AuthorId","A unique identifier associated with the software author, for example an https://orcid.org","3, 4, 5, 6, 8, 9","id","creators.orcid","id(internal id/ORCID)","id(ORCID)","-","-",NA,"nameIdentifier",NA,"-","-","-",NA,"A unique identifier associated with the software author, for example an https://orcid.org",3456,"id","-","id(internal id/ORCID)","id(ORCID)","-","-",NA,"nameIdentifier",NA,"-","-","-",NA,NA,NA,NA,NA,NA,NA,"A unique identifier associated with the software author, for example an https://orcid.org","3, 4, 5","id","-","id(internal id/ORCID)","id(ORCID)","-","-",NA,"nameIdentifier",NA,"-","-","-",NA,NA
"7","AuthorEmail","The author’s email address",NA,"email","-","-","email","-","-",NA,"-",NA,"-","Authors@R person(email)","-",NA,"The author’s email address",NA,"email","-","-","email","-","-",NA,"-",NA,"-","Authors@R person(email)","-",NA,"author_email",NA,"author:email-address","author.email",NA,"DESCRIPTION/Author, DESCRIPTION/Maintainer","The author’s email address","3, 4, 5","email","-","-","email","-","-",NA,"-",NA,"-","Authors@R person(email)","-",NA,"email"
"8","AuthorAffiliation","The organization the author is affiliated with",NA,"affiliation","creators.affiliation","-","affiliation","-","-",NA,"affiliation",NA,"-","-","-",NA,"The organization the author is affiliated with",456,"affiliation","affiliation","-","affiliation","-","-",NA,"affiliation",NA,"-","-","-",NA,NA,NA,NA,NA,NA,NA,"The organization the author is affiliated with","3, 4, 5","affiliation","affiliation","-","affiliation","-","-",NA,"affiliation",NA,"-","-","-",NA,NA
"9","SoftwareContributor","Contributors to the software other than the author","3, 4, 5, 8,","contributor","contributors",NA,"contributor",NA,"contributor","hasMajorContributor -> contributor",NA,"Contributor",NA,"Authors@R person(role=“ctb”)","-","contributors_url","Contributors to the software other than the author",3456,"contributor",NA,NA,"contributor",NA,"contributor","hasMajorContributor -> contributor",NA,"Contributor",NA,"Authors@R person(role=“ctb”)","-","contributors_url",NA,NA,NA,"contributors","contributors",NA,"Contributors to the software other than the author","3, 4, 5","contributor",NA,NA,"contributor",NA,"contributor","hasMajorContributor -> contributor",NA,"Contributor",NA,"Authors@R person(role=“ctb”)","-","contributors_url",NA
"10","UploadedBy","The user identity that uploaded the software to an online repository","9, 11","uploadedBy","owners (?)","-","uploadedBy","-","-",NA,"-",NA,"-","-","-",NA,"The user identity that uploaded the software to an online repository",NA,"uploadedBy","?","-","uploadedBy","-","-",NA,"-",NA,"-","*Three letter code can specify other roles like author above: http://www.loc.gov/marc/relators/relaterm.html, https://journal.r-project.org/archive/2012-1/RJournal_2012-1_Hornik~et~al.pdf","-",NA,NA,NA,NA,NA,NA,NA,"The user identity that uploaded the software to an online repository","3, 4, 5","uploadedBy","?","-","uploadedBy","-","-",NA,"-",NA,"-","-","-",NA,"added_by"
"11","ControlledTerm","Keywords associated with the software","1, 3","controlledTerm","communities","category",NA,"-","-",NA,"-",NA,"-","-","-",NA,"Fixed vocabulary by which to describe category or community of software",13,"controlledTerm","communities","category",NA,"-","-",NA,"-",NA,"-","-","-",NA,"classifiers['Topic']","Topic","CATEGORIES",NA,NA,"DESCRIPTION/Categories","Keywords associated with the software","1, 3","controlledTerm","communities","category",NA,"-","-",NA,"-",NA,"-","-","-",NA,NA
"12","ObjectType","A category of the object (controlled list, such as software, paper, data, image...)",NA,"objectType","upload_type","file_type","type","-","-",NA,"ResourceType","ResourceType(resourceTypeGeneral=Software)","type","Type","Package-Type",NA,"A category that the software belongs to",5,"objectType","upload_type","file_type","type","-","-",NA,"ResourceType","ResourceType(resourceTypeGeneral=Software)","type","Type","Package-Type",NA,NA,NA,NA,NA,"type",NA,"A category of the object (controlled list, such as software, paper, data, image...)","1-12","objectType","upload_type","file_type","type","-","-",NA,"ResourceType","ResourceType(resourceTypeGeneral=Software)","type","Type","Package-Type",NA,NA
"13","Tags","Terms used to describe the software and to facilitate search and discovery","1, 3","tags","keywords","tags","keywords","-",NA,"hasSoftwareCategory -> SoftwareCategory","Subject","Subject","subject","-","-",NA,"Terms used to describe the software and to facilitate search and discovery",13,"tags","keywords","tags","keywords","-",NA,"hasSoftwareCategory -> SoftwareCategory","Subject","Subject","subject","-","-",NA,"keywords",NA,"keywords","keywords",NA,NA,"Terms used to describe the software and to facilitate search and discovery","1, 3","tags","keywords","tags","keywords","-",NA,"hasSoftwareCategory -> SoftwareCategory","Subject","Subject","subject","-","-",NA,NA
"14","Description","A description of the software","1, 2, 3, 4, 7, 9, 11","description","description/notes","Description","description","Human-readable synopsis","software","Software Description","Description","Description","description","Description","Description","description","A description of the software",13,"description","description/notes","Description","description","Human-readable synopsis","software","Software Description","Description","Description","description","Description","Description","description","description, long_description","description","abstract, description","description","description","DESCRIPTION/Title, DESCRIPTION/Description","A description of the software","(1), 3, (4), (9)","description","description/notes","Description","description","Human-readable synopsis","software","Software Description","Description","Description","description","Description","Description","description","abstract"
"15","RelatedLink","A URL that provides additional information or resources related to the software","1, 3","relatedLink","related_identifiers","links","codeRepository","-","-",NA,"RelatedIdentifier",NA,"relation","-","HomePage","homepage","A URL that provides additional information or resources related to the software",NA,"relatedLink","related_identifiers","links","codeRepository","-","-",NA,"RelatedIdentifier",NA,"relation","-","-",NA,NA,"homepage","resources","homepage",NA,"DESCRIPTION/Url","A URL that provides additional information or resources related to the software","1-9, 11-12","relatedLink","related_identifiers","links","codeRepository","-","-",NA,"RelatedIdentifier",NA,"relation","-","-",NA,NA
"16","CodeRepositoryLink","The repository containing the software source","1, 2, 6, 7, 13","codeRepository","r_i.relation","-","codeRepository","Links to code repository","-","hasCodeLocation -> Location","-",NA,"-","URL","HomePage","git_url","The repository containing the software source",3456911,"codeRepository","-","-","codeRepository","Links to code repository","-","hasCodeLocation -> Location","-",NA,"-","URL","HomePage","git_url","url",NA,"resources.repository","repository","repositories",NA,"The repository containing the software source","1, 2, 3, 7, 9, (11), (12)","codeRepository","-","-","codeRepository","Links to code repository","-","hasCodeLocation -> Location","-",NA,"-","URL","HomePage","git_url","site_list"
"17","ReadmeLink","A URL for the software README file","13","readme","r_i.relation","-","-","-","-",NA,"RelatedIdentifier(relationType = isDocumentedBy)",NA,"-","-","-",NA,"A URL for the software README file",NA,"readme","-","-","-","-","-",NA,"RelatedIdentifier(relationType = isDocumentedBy)",NA,"-","-","-",NA,NA,NA,"README","files",NA,NA,"A URL for the software README file","1, 2, 3","readme","-","-","-","-","-",NA,"RelatedIdentifier(relationType = isDocumentedBy)",NA,"-","-","-",NA,NA
"18","BuildLink","A URL for the software build instructions","13","buildInstructions","r_i.relation","-","-","-","-",NA,"-",NA,"-","-","-",NA,"A URL for the software build instructions",28911,"buildInstructions","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA,NA,NA,NA,NA,NA,"A URL for the software build instructions","2,3,4","buildInstructions","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA
"19","CILink","A URL for the continuous integration system used to build the software","13","contIntegration","r_i.relation","-","-","-","-",NA,"-",NA,"-","-","-",NA,"A URL for the continuous integration system used to build the software",911,"contIntegration","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA,NA,NA,NA,"ciManagement",NA,"A URL for the continuous integration system used to build the software","2, 3, 9","contIntegration","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA
"20","IssueLink","A URL for the issue tracking system used for the software","13","issueTracker","r_i.relation","-","-","-",NA,"hasCommitmentOfSupport -> TextEntity","-",NA,"-","BugReports","-","issues_url","A URL for the issue tracking system used for the software",11,"issueTracker","-","-","-","-",NA,"hasCommitmentOfSupport -> TextEntity","-",NA,"-","BugReports","-","issues_url",NA,NA,"resources.bugtracker","bugs","issuesManagement",NA,"A URL for the issue tracking system used for the software","1, 2,  3, 7, 8, 11","issueTracker","-","-","-","-",NA,"hasCommitmentOfSupport -> TextEntity","-",NA,"-","BugReports","-","issues_url",NA
"21","AccessList","The access policy governing access to the software","3, 10","accessList","access_right(public/embargo/private)","access(private/public)","-","-","-",NA,"-",NA,"-","-","-",NA,"The access policy governing access to the software",410,"accessList","access_right(public/embargo/private)","access(private/public)","-","-","-",NA,"-",NA,"-","-","-",NA,NA,NA,NA,"private",NA,NA,"The access policy governing access to the software","3","accessList","access_right(public/embargo/private)","access(private/public)","-","-","-",NA,"-",NA,"-","-","-",NA,NA
"22","License","The name of the license agreement governing the use and redistribution of the software","4, 7, 10","license","license","License","license","Software license","software license","License","Rights","Rights","license","License","-","license (https://developer.github.com/v3/licenses/#get-a-repositorys-license)","The name of the license agreement governing the use and redistribution of the software",4710,"license","license","License","license","Software license","software license","License","Rights","Rights","license","License","-",NA,"license, classifiers['License']","License","license","license","license","DESCRIPTION/License","The name of the license agreement governing the use and redistribution of the software","3, 10","license","license","License","license","Software license","software license","License","Rights","Rights","license","License","-",NA,NA
