Concept,Concept Definition,Use Cases.x,Use Cases.y,Use Cases.z,Zenodo,Software Ontology,GitHub,CodeMeta Field,Figshare,code.jsonld,Software Discovery Index,OntoSoft,Software Entities Model (DataCitei/JISC),Dublin Core,R Package Description,Debian Package Metadata,Python Distutils (PyPI),Trove Software Map,Perl Module Description (CPAN::Meta),JavaScript package descption (npm),Java (Maven),Octave,DataCite,ASCL,Ruby Gem
SoftwareTitle,Title of the software ,"1, 3, 5a-d, 6",356,"1, 3, 4, 5",title,software,name,title,Title,title,Software title,hasName -> TextEntity,Title,title,Title,-,name,Title,name,name,name,DESCRIPTION/Name,Title,title,name
SoftwareIdentifier,A unique identifier associated with the software,"2, 3, 4, 5, 6, 8, 9,",35612,"1, 12",id,-,id or full_name?,identifier,?,identifier,Persistent identifier,hasUniqueId -> Identifier,Identifier,identifier,Package,Package,-,-,-,name,groupId,-,Identifier,ascl_id ,
SoftwareAuthor,The software author,"3, 4, 5, 8,",3456,"3, 4, 5",creators,software developer organization,owner,author,Authors(s),author,Author names and affiliations,-,Creator,creator,Authors@R person(role=“aut”),Maintainer,author,Maintainers,author,author,developers,"DESCRIPTION/Author, DESCRIPTION/Maintainer",Creator,credit,author/authors
AuthorName,The name of the author,NA,3456,"3, 4, 5","creators.givennames, creators.familyname",-,-,name,Name,name,-,-,-,-,"Authors@R person(given, family)",-,-,-,author:contact-name,author.name,-,-,creatorName,,
AuthorId,"A unique identifier associated with the software author, for example an https://orcid.org","3, 4, 5, 6, 8, 9",3456,"3, 4, 5",creators.orcid,-,-,id,id(internal id/ORCID),id(ORCID),-,-,-,-,-,-,-,-,-,-,-,-,nameIdentifier,,
AuthorEmail,The author’s email address,NA,NA,"3, 4, 5",-,-,-,email,-,email,-,-,-,-,Authors@R person(email),-,author_email,-,author:email-address,author.email,-,"DESCRIPTION/Author, DESCRIPTION/Maintainer",-,email,email
AuthorAffiliation,The organization the author is affiliated with,NA,456,"3, 4, 5",creators.affiliation,-,-,affiliation,-,affiliation,-,-,-,-,-,-,-,-,-,-,-,-,affiliation,,
SoftwareContributor,Contributors to the software other than the author,"3, 4, 5, 8,",3456,"3, 4, 5",contributors,contributor,contributors_url,contributor,-,contributor,-,hasMajorContributor -> contributor,Contributor,-,Authors@R person(role=“ctb”),-,-,-,-,contributors,contributors,-,-,,
UploadedBy,The user identity that uploaded the software to an online repository,"9, 11",NA,"3, 4, 5",owners (?),-,-,uploadedBy,-,uploadedBy,-,-,-,-,"*Three letter code can specify other roles like author above: http://www.loc.gov/marc/relators/relaterm.html, https://journal.r-project.org/archive/2012-1/RJournal_2012-1_Hornik~et~al.pdf",-,-,-,-,-,-,-,-,added_by,
ControlledTerm,Keywords associated with the software (i.e. Fixed vocabulary by which to describe category or community of software),"1, 3","1, 3","1, 3",communities,-,-,controlledTerm,category,-,-,-,-,-,-,-,classifiers['Topic'],Topic,CATEGORIES,-,-,DESCRIPTION/Categories,-,,
ObjectType,"A category of the object (controlled list, such as software, paper, data, image...)",,,,upload_type,,,objectType,file_type,type,,,ResourceType(resourceTypeGeneral=Software),type,Type,Package-Type,,,,,type,,ResourceType,,
Tags,Terms used to describe the software and to facilitate search and discovery,"1, 3","1, 3","1, 3",keywords,-,-,tags,tags,keywords,-,hasSoftwareCategory -> SoftwareCategory,Subject,subject,-,-,keywords,-,keywords,keywords,-,-,Subject,,
Description,A description of the software,"1, 2, 3, 4, 7, 9, 11",13,"(1), 3, (4), (9)",description/notes,software,description,description,Description,description,Human-readable synopsis,Software Description,Description,description,Description,Description,"description, long_description",description,"abstract, description",description,description,"DESCRIPTION/Title, DESCRIPTION/Description",Description,abstract,"summary, description"
RelatedLink,A URL that provides additional information or resources related to the software,"1, 3",NA,"1-9, 11-12",related_identifiers,-,homepage,relatedLink,links,codeRepository,-,-,-,relation,-,-,-,homepage,resources,homepage,-,DESCRIPTION/Url,RelatedIdentifier,,homepage
CodeRepositoryLink,The repository containing the software source,"1, 2, 6, 7, 13",3456911,"1, 2, 3, 7, 9, (11), (12)",r_i.relation,-,git_url,codeRepository,-,codeRepository,Links to code repository,hasCodeLocation -> Location,-,-,URL,HomePage,url,-,resources.repository,repository,repositories,-,-,site_list,homepage
ReadmeLink,A URL for the software README file,13,NA,"1, 2, 3",r_i.relation,-,-,readme,-,-,-,-,-,-,-,-,-,-,README,files,-,-,RelatedIdentifier(relationType = isDocumentedBy),,
BuildLink,A URL for the software build instructions,13,28911,"2, 3, 4",r_i.relation,-,-,buildInstructions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
CILink,A URL for the continuous integration system used to build the software,13,911,"2, 3, 9",r_i.relation,-,-,contIntegration,-,-,-,-,-,-,-,-,-,-,-,-,ciManagement,-,-,,
IssueLink,A URL for the issue tracking system used for the software,13,11,"1, 2,  3, 7, 8, 11",r_i.relation,-,issues_url,issueTracker,-,-,-,hasCommitmentOfSupport -> TextEntity,-,-,BugReports,-,-,-,resources.bugtracker,bugs,issuesManagement,-,-,,
AccessList,The access policy governing access to the software,"3, 10",410,3,access_right(public/embargo/private),-,-,accessList,access(private/public),-,-,-,-,-,-,-,-,-,-,private,-,-,-,,
License,The name of the license agreement governing the use and redistribution of the software,"4, 7, 10",4710,"3, 10",license,software license,license (https://developer.github.com/v3/licenses/#get-a-repositorys-license),license,License,license,Software license,License,Rights,license,License,-,"license, classifiers['License']",License,license,license,license,DESCRIPTION/License,Rights,,license/licenses
Publisher,The publisher of the software,"3, 4, 5, 6, 11",5,3,-,software publisher organization,-,publisher,-,publisher,-,hasPublisher -> Agent,Publisher,-,-,-,-,-,-,-,-,-,-,,
datePublished,The date the software was first made available for download by the publisher,"2, 3, 5, 11",45,"3,5,6",date_published,-,-,datePublished,date_retrieved,datePublished,-,-,PublicationYear,date,Date,-,-,-,-,-,-,DESCRIPTION/Date,PublicationYear,,
dateCreated,The creation date of the software,"3, 4, 11",NA,3,-,-,created_at,dateCreated,-,dateCreated,-,-,-,created,-,Date,-,-,-,-,-,-,Date(dateType = Created),,
dateModified,The latest modification date of the software,"3, 4, 11",10,3,-,-,updated_at,dateModified,-,dateModified,-,-,Date (dateType = Issued),modified,-,-,-,last-updated,-,-,-,-,Date(dateType = Updated),,
EmbargoDate,A calendar date specifying the end of a restricted access period,"3, 10,",412,3,embargo_date,-,-,embargoDate,embargo_date,-,-,-,Date(dateType = Available),available,-,-,-,-,-,-,-,-,Date(dateType = Available),,
Inputs,Objects used by the software,"1, 2, 3, 7, 8, 9",137,3,-,data,-,inputs,-,-,Formats for data inputs and outputs,-,-,-,-,-,-,-,-,-,-,-,-,,
Outputs,Objects generated by the software,"1, 2, 3, 7, 8, 9",137,3,-,data,-,outputs,-,-,Formats for data inputs and outputs,-,-,-,-,-,-,-,-,-,-,-,-,,
Function,The role or objective that the software has,"1, 3, 7",13,"1, 3",-,Topic,-,function,-,-,Terms to describe software objectives or functions,-,-,-,-,-,-,-,-,-,-,-,-,,
Dependency,The computer hardware and software needed to run the software,"1, 2, 3, 6, 7, 8, 9",23789,"1, 2, 3, 4, 7, 8, 9",-,-,-,dependency,-,dependency,"Platform, environment, and dependencies",hasDependency -> Software,-,requires,"Depends; Imports; ‘Enhances’, ‘LinkingTo’ and ‘Additional_repositories’",-,install_requires,Database Environment,prereqs,dependencies / devDependencies / peerDependencies / bundledDependencies / optionalDependencies / cpu / engines,prerequisites,"DESCRIPTION/Depends, DESCRIPTION/SystemRequirements, DESCRIPTION/BuildRequires",-,,"requirements, add_development_dependency, add_runtime_dependency"
Suggests,An external software component that could enhance the software package but is not strictly required,"1, 2, 3, 7",27,"1, 2",related_identifiers,-,-,suggests,-,-,-,-,-,-,Suggests,-,-,-,optional_features,-,-,-,-,,
Relationship,Relationship to other related resources,NA,78,NA,-,-,-,relationship,-,-,-,-,"RelatedIdentifier(relationType=isPartOf), RelatedIdentifier(relationType=isVariantFormOf), RelatedIdentifier(relationType=isPreviousVersionOf), RelatedIdentifier(relationType=isNextVersionOf)",-,-,-,-,-,-,-,-,-,-,,
TestCoverage,-,"1, but missing use case to understand software quality/standing",11,3,-,-,-,testCoverage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
DocsCoverage,-,"13, 1, 2, 3, 7, 8",11,NA,-,-,-,docsCoverage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
IsAutomated,-,13,2,NA,-,-,-,isAutomatedBuild,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Package,"Ask Zenodo what this is; may be the same as ""DownloadLink"" below",NA,NA,?,filename/?,-,-,package,-,-,-,-,-,-,-,-,packages,-,-,-,packaging,-,-,,
ZippedCodeLink,A URL for the software distribution in compressed form.,NA,59,NA,filename,-,archive_url,zippedCode,file,-,-,-,-,-,-,-,download_url,-,-,-,-,-,-,,
Version,The version of the software,"2, 3, 4, 5, 6, 7, 8, 9, 11, 13",589,"2, 3, 5, 7, 8, 9",-,Version,-,version,-,-,Software version,Software Version,Version,-,Version; numeric_version,Version,version,-,version,version,version,DESCRIPTION/Version,Version,,version
InteractionMethod,"Command-line v. GUI v. Excel...., Entry points",NA,37,NA,-,-,-,interactionMethod,-,-,-,-,"ResourceType(resourceTypeGeneral=InteractiveResource),ResourceType(resourceTypeGeneral=Service)",-,-,-,entry_points?,User Interface,-,-,-,-,-,,
ProgrammingLanguage,The computer programming language that the software is written in,"1, 2, 3, 7, 8, 9",27,"1, 2, 3, 7, 8, 9",-,programming language,languages_url,programmingLanguage,-,-,-,Programming Language,Format,-,-,-,classifiers['Programming Language'],Programming Language,-,-,-,-,-,,
SoftwareCitation,The citation of the software itself,"3, 4, 5, 6",3412,"3, 4, 5, 6",notes ?,-,-,softwareCitation,-,-,-,Citation,-,-,-,-,-,-,-,-,-,-,-,citation_method,
SoftwarePaperCitation,The citation of the paper that describes the research that the software was associated with,"3, 4, 5, 6",3412,"3, 4, 5, 6",notes ?,Citation,-,softwarePaperCitation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,described_in,
DownloadCount,A metric indicating the number of times that the software has been downloaded,"3, 4, 6",4,3,-,-,-,downloadCount,-,-,-,Usage Statistics,-,-,-,-,-,download-stats,-,-,-,-,-,,
CitationCount,A metric indicating the number of times that the software has been cited,"3, 4, 6",4612,3,-,-,-,citationCount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Funding,The software funding source,"3, 4, 6",4,3,contributors.Funder,-,-,funding,-,-,Associated grants,-,-,-,-,-,-,-,-,-,-,-,-,,
RelatedPublications,Publications related to the software,"3, 4, 6",3,3,related_identifiers,-,-,relatedPublications,-,-,Associated publications,-,-,-,-,-,-,-,-,-,-,-,-,used_in,
OperatingSystem,The operating system supported by the software,NA,2378,NA,-,-,-,-,-,-,-,-,-,-,-,-,classifiers['Operating System'],Operating System,OSNAMES,os,-,-,-,,
L10n,Software is available in these languages,NA,35,NA,-,-,-,-,-,-,-,-,-,-,-,-,classifiers['Natural Language'],Translations,-,-,-,-,-,,
UserInterface,The user interface the software supports,NA,3,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
DevelopmentStatus,The development status of the software,NA,11,NA,-,-,-,-,-,-,-,-,-,-,-,-,classifiers['Development Status'],Development Status,release_status,-,-,-,-,,
IntendedAudience,The category of users for the software,NA,1,NA,-,-,-,-,-,-,-,-,-,-,-,-,classifiers['Intended Audience'],Intended Audience,-,-,-,-,-,,
dynamic_config,[Perl] A boolean flag indicating whether a Build.PL or Makefile.PL (or similar) must be executed to determine prerequisites.,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,dynamic_config,-,-,-,-,,
GeneratedBy,This field indicates the thing that created this metadata record (could be person or tool?),NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,generated_by,-,-,-,-,,
meta_spec,[Perl] This field indicates the version of the CPAN Meta Spec that should be used to interpret the metadata,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meta_spec,-,-,-,-,,
directories.doc,[JavaScript] Markdown files directory for various documentation,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
no_index,"[Perl] This Map describes any files, directories, packages, and namespaces that are private to the packaging or implementation of the distribution and should be ignored by indexing or search tools.",NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no_index,-,-,-,-,,
provides,[Perl]This describes all packages provided by this distribution,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Problems,[Octave] This describes known issues with the code,NA,11,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DESCRIPTION/Problems,-,,
IdentifierNamespace,"Authority using this identifier: e.g. doi.org, or cran.r-project.org",NA,NA,"1, 12",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
recordDatePublished,Date this metadata record was published,,,,,,,,,,,,,,,,,,,,,,,,
recordDateCreated,Date this metadata record was created,,,,,,,,,,,,,,,,,,,,,,,time_added,
recordDateModified,Date this metadata record was last modified,,,,,,,,,,,,,,,,,,,,,,,time_updated,
